K. Mbappé,low,high,high,high,high,France,Paris Saint-Germain,3.0,2022,€166.1M,88,high,High/ Medium,€81M,€100K,81000000.0,100000.0,RM,midfielder
M. Salah,medium,high,medium,high,high,Egypt,Liverpool,3.0,2023,€137.3M,88,high,High/ Medium,€69.5M,€255K,69500000.0,255000.0,RM,midfielder
Casemiro,medium,high,medium,high,high,Brazil,Real Madrid,3.0,2021,€126.4M,88,high,Medium/ High,€59.5M,€285K,59500000.0,285000.0,CDM,midfielder
J. Rodríguez,medium,high,medium,high,high,Colombia,FC Bayern München,4.0,2019,0,88,high,Medium/ Medium,€69.5M,€315K,69500000.0,315000.0,LAM,midfielder
L. Insigne,medium,high,medium,high,high,Italy,Napoli,3.0,2022,€105.4M,88,high,High/ Medium,€62M,€165K,62000000.0,165000.0,LW,midfielder
Isco,medium,high,medium,high,high,Spain,Real Madrid,3.0,2022,€156.2M,88,high,High/ Medium,€73.5M,€315K,73500000.0,315000.0,LW,midfielder
C. Eriksen,medium,high,medium,high,high,Denmark,Tottenham Hotspur,3.0,2020,€141.5M,88,high,High/ Medium,€73.5M,€205K,73500000.0,205000.0,CAM,midfielder
Coutinho,medium,high,medium,high,high,Brazil,FC Barcelona,3.0,2023,€147.7M,88,high,High/ High,€69.5M,€340K,69500000.0,340000.0,LW,midfielder
P. Aubameyang,medium,high,medium,high,high,Gabon,Arsenal,3.0,2021,€112.1M,88,high,Medium/ Low,€59M,€265K,59000000.0,265000.0,LM,midfielder
M. Hummels,medium,high,medium,high,high,Germany,FC Bayern München,4.0,2021,€75.9M,88,high,High/ Medium,€46M,€160K,46000000.0,160000.0,LCB,defender
Marcelo,medium,high,medium,high,high,Brazil,Real Madrid,4.0,2022,€88.2M,88,high,High/ Low,€43M,€285K,43000000.0,285000.0,LB,defender
G. Bale,medium,high,medium,high,high,Wales,Real Madrid,4.0,2022,€123M,88,high,High/ Medium,€60M,€355K,60000000.0,355000.0,ST,striker
H. Lloris,medium,high,low,high,medium,France,Tottenham Hotspur,4.0,2022,€66.6M,88,medium,Medium/ Medium,€36M,€150K,36000000.0,150000.0,GK,goalkeeper
G. Higuaín,medium,high,medium,high,high,Argentina,Milan,4.0,2019,0,88,high,High/ Medium,€57M,€245K,57000000.0,245000.0,LS,striker
Thiago Silva,medium,high,low,high,high,Brazil,Paris Saint-Germain,4.0,2020,€44.4M,88,high,Medium/ High,€24M,€165K,24000000.0,165000.0,RCB,defender
S. Handanovič,medium,high,low,high,medium,Slovenia,Inter,3.0,2021,€51M,88,medium,Medium/ Medium,€30M,€110K,30000000.0,110000.0,GK,goalkeeper
G. Buffon,high,high,low,high,medium,Italy,Paris Saint-Germain,4.0,2019,€7.4M,88,medium,Medium/ Medium,€4M,€77K,4000000.0,77000.0,GK,goalkeeper
S. Umtiti,low,high,medium,high,high,France,FC Barcelona,3.0,2023,€121.1M,87,high,Medium/ High,€57M,€205K,57000000.0,205000.0,CB,defender
M. Icardi,low,high,medium,high,high,Argentina,Inter,3.0,2021,€114.5M,87,high,Medium/ Low,€64.5M,€130K,64500000.0,130000.0,ST,striker
K. Koulibaly,medium,high,medium,high,high,Senegal,Napoli,3.0,2021,€90.5M,87,medium,High/ High,€51M,€115K,51000000.0,115000.0,LCB,defender
P. Pogba,low,high,medium,high,high,France,Manchester United,4.0,2021,€123.2M,87,high,High/ Low,€64M,€210K,64000000.0,210000.0,RDM,midfielder
K. Navas,medium,high,low,high,high,Costa Rica,Real Madrid,3.0,2020,€62.5M,87,medium,Medium/ Medium,€30.5M,€195K,30500000.0,195000.0,GK,goalkeeper
R. Lukaku,low,high,medium,high,high,Belgium,Manchester United,3.0,2022,€120.3M,87,high,Medium/ Medium,€62.5M,€230K,62500000.0,230000.0,ST,striker
C. Immobile,medium,high,medium,high,high,Italy,Lazio,3.0,2023,€88.4M,87,high,High/ Medium,€52M,€115K,52000000.0,115000.0,ST,striker
Jordi Alba,medium,high,low,high,high,Spain,FC Barcelona,3.0,2020,€77.9M,87,high,High/ Medium,€38M,€250K,38000000.0,250000.0,LB,defender
D. Mertens,medium,high,medium,high,high,Belgium,Napoli,3.0,2020,€76.5M,87,high,High/ Low,€45M,€135K,45000000.0,135000.0,RF,striker
J. Vertonghen,medium,high,low,high,high,Belgium,Tottenham Hotspur,3.0,2019,€62.9M,87,high,High/ High,€34M,€155K,34000000.0,155000.0,LCB,defender
M. Hamšík,medium,high,medium,high,high,Slovakia,Napoli,3.0,2020,€79.1M,87,high,High/ Medium,€46.5M,€125K,46500000.0,125000.0,LCM,midfielder
I. Rakitić,medium,high,medium,high,high,Croatia,FC Barcelona,4.0,2021,€95.3M,87,high,High/ High,€46.5M,€260K,46500000.0,260000.0,RCM,midfielder
Piqué,medium,high,low,high,high,Spain,FC Barcelona,4.0,2022,€69.7M,87,medium,High/ Medium,€34M,€240K,34000000.0,240000.0,RCB,defender
L. Sané,low,high,medium,high,high,Germany,Manchester City,2.0,2021,€125.1M,86,high,High/ Medium,€61M,€195K,61000000.0,195000.0,LW,midfielder
Bernardo Silva,low,high,medium,high,high,Portugal,Manchester City,2.0,2022,€114.5M,86,high,High/ Medium,€59.5M,€180K,59500000.0,180000.0,RW,midfielder
Ederson,low,high,medium,high,medium,Brazil,Manchester City,2.0,2025,€79.9M,86,medium,Medium/ Medium,€41.5M,€125K,41500000.0,125000.0,GK,goalkeeper
S. Mané,medium,high,medium,high,high,Senegal,Liverpool,3.0,2023,€102.7M,86,high,High/ Medium,€52M,€195K,52000000.0,195000.0,LM,midfielder
V. van Dijk,medium,high,medium,high,high,Netherlands,Liverpool,3.0,2023,€87.9M,86,high,Medium/ Medium,€44.5M,€165K,44500000.0,165000.0,LCB,defender
R. Sterling,low,high,medium,high,high,England,Manchester City,3.0,2023,€108.8M,86,high,High/ Medium,€56.5M,€195K,56500000.0,195000.0,RW,midfielder
Roberto Firmino,medium,high,medium,high,high,Brazil,Liverpool,3.0,2023,€104.7M,86,high,High/ High,€53M,€195K,53000000.0,195000.0,CAM,midfielder
R. Varane,low,high,medium,high,high,France,Real Madrid,3.0,2022,€106.3M,86,high,Medium/ High,€50M,€210K,50000000.0,210000.0,RCB,defender
M. Verratti,low,high,medium,high,high,Italy,Paris Saint-Germain,3.0,2021,€105.9M,86,high,Medium/ High,€55M,€135K,55000000.0,135000.0,LCM,midfielder
Alex Sandro,medium,high,low,high,high,Brazil,Juventus,3.0,2020,€60.2M,86,high,High/ High,€36.5M,€160K,36500000.0,160000.0,LB,defender
Douglas Costa,medium,high,medium,high,high,Brazil,Juventus,3.0,2022,€76.7M,86,high,High/ Medium,€46.5M,€175K,46500000.0,175000.0,LM,midfielder
T. Müller,medium,high,medium,high,high,Germany,FC Bayern München,4.0,2021,€74.3M,86,high,High/ High,€45M,€135K,45000000.0,135000.0,CAM,midfielder
Thiago,medium,high,medium,high,high,Spain,FC Bayern München,3.0,2021,€75.1M,86,high,Medium/ Medium,€45.5M,€130K,45500000.0,130000.0,CM,midfielder
M. Reus,medium,high,medium,high,high,Germany,Borussia Dortmund,4.0,2023,€74M,86,high,High/ Medium,€43.5M,€100K,43500000.0,100000.0,LM,midfielder
Azpilicueta,medium,high,low,high,high,Spain,Chelsea,3.0,2022,€64.8M,86,high,Medium/ Medium,€35M,€175K,35000000.0,175000.0,RB,defender
L. Bonucci,medium,high,low,high,high,Italy,Juventus,3.0,2023,€49.5M,86,medium,Low/ High,€30M,€160K,30000000.0,160000.0,RCB,defender
T. Alderweireld,medium,high,low,high,high,Belgium,Tottenham Hotspur,3.0,2020,€75.1M,86,high,Medium/ Medium,€39M,€150K,39000000.0,150000.0,RCB,defender
M. Pjanić,medium,high,medium,high,high,Bosnia Herzegovina,Juventus,3.0,2023,€72.6M,86,high,Medium/ Medium,€44M,€180K,44000000.0,180000.0,CDM,midfielder
M. Benatia,medium,high,low,high,high,Morocco,Juventus,3.0,2020,€49.5M,86,high,Medium/ High,€30M,€160K,30000000.0,160000.0,CB,defender
M. Özil,medium,high,medium,high,high,Germany,Arsenal,4.0,2021,€82.7M,86,high,Medium/ Low,€43.5M,€190K,43500000.0,190000.0,CAM,midfielder
Fernandinho,medium,high,low,high,high,Brazil,Manchester City,3.0,2020,€33.3M,86,high,Medium/ High,€18M,€185K,18000000.0,185000.0,CDM,midfielder
Iniesta,medium,high,low,high,high,Spain,Vissel Kobe,4.0,2021,€26.9M,86,high,High/ Medium,€21.5M,€21K,21500000.0,21000.0,LF,striker
M. Škriniar,low,high,medium,high,high,Slovakia,Inter,1.0,2022,€88.4M,85,medium,Medium/ High,€46.5M,€82K,46500000.0,82000.0,LCB,defender
S. Milinković-Savić,low,high,medium,high,high,Serbia,Lazio,2.0,2023,€89.6M,85,high,High/ Medium,€50.5M,€73K,50500000.0,73000.0,CM,midfielder
Marco Asensio,low,high,medium,high,high,Spain,Real Madrid,3.0,2023,€121.5M,85,high,High/ Medium,€54M,€215K,54000000.0,215000.0,RW,midfielder
N. Fekir,low,high,medium,high,high,France,Olympique Lyonnais,3.0,2020,€98.8M,85,high,High/ Medium,€50M,€92K,50000000.0,92000.0,CAM,midfielder
Alisson,low,high,low,high,medium,Brazil,Liverpool,3.0,2024,€72.1M,85,medium,Medium/ Medium,€36.5M,€115K,36500000.0,115000.0,GK,goalkeeper
J. Kimmich,low,high,medium,high,high,Germany,FC Bayern München,3.0,2023,€69.9M,85,high,High/ Low,€40.5M,€92K,40500000.0,92000.0,RCM,midfielder
Saúl,low,high,medium,high,high,Spain,Atlético Madrid,3.0,2026,€107.3M,85,high,High/ High,€50.5M,€77K,50500000.0,77000.0,RCM,midfielder
R. Mahrez,medium,high,medium,high,high,Algeria,Manchester City,3.0,2023,€74.9M,85,high,Medium/ Medium,€40.5M,€205K,40500000.0,205000.0,RW,midfielder
D. Alaba,medium,high,low,high,high,Austria,FC Bayern München,4.0,2021,€65.6M,85,high,High/ Medium,€38M,€110K,38000000.0,110000.0,LB,defender
Koke,medium,high,medium,high,high,Spain,Atlético Madrid,3.0,2019,€95.6M,85,high,High/ High,€45M,€88K,45000000.0,88000.0,LM,midfielder
A. Lacazette,medium,high,medium,high,high,France,Arsenal,3.0,2022,€88.9M,85,high,High/ High,€45M,€180K,45000000.0,180000.0,ST,striker
K. Manolas,medium,high,low,high,high,Greece,Roma,3.0,2022,€66.6M,85,high,Low/ High,€37.5M,€96K,37500000.0,96000.0,LCB,defender
N. Otamendi,medium,high,low,high,high,Argentina,Manchester City,3.0,2022,€52.7M,85,medium,High/ High,€28.5M,€170K,28500000.0,170000.0,CB,defender
Parejo,medium,high,low,high,high,Spain,Valencia CF,2.0,2020,€77.7M,85,high,Medium/ Low,€37M,€66K,37000000.0,66000.0,RCM,midfielder
Paulinho,medium,high,low,high,high,Brazil,Guangzhou Evergrande Taobao FC,3.0,2019,0,85,high,High/ High,€37M,€235K,37000000.0,235000.0,LDM,midfielder
W. Szczęsny,medium,high,low,high,medium,Poland,Juventus,3.0,2021,€55.2M,85,medium,Medium/ Medium,€32M,€125K,32000000.0,125000.0,GK,goalkeeper
A. Sánchez,medium,high,low,high,high,Chile,Manchester United,4.0,2022,€69.4M,85,high,High/ High,€37.5M,€215K,37500000.0,215000.0,RW,midfielder
Y. Brahimi,medium,high,low,high,high,Algeria,FC Porto,3.0,2019,€78M,85,high,High/ Medium,€39M,€28K,39000000.0,28000.0,LM,midfielder
J. Boateng,medium,high,low,high,high,Germany,FC Bayern München,4.0,2021,€49.5M,85,high,Medium/ Medium,€30M,€115K,30000000.0,115000.0,RCB,defender
A. Vidal,medium,high,low,high,high,Chile,FC Barcelona,4.0,2021,€53.3M,85,high,Medium/ Medium,€26M,€205K,26000000.0,205000.0,CAM,midfielder
I. Perišić,medium,high,low,high,high,Croatia,Inter,3.0,2022,€63.8M,85,high,Medium/ Medium,€37.5M,€110K,37500000.0,110000.0,LM,midfielder
E. Džeko,medium,high,low,high,high,Bosnia Herzegovina,Roma,3.0,2020,€51.9M,85,high,Medium/ Medium,€30.5M,€115K,30500000.0,115000.0,ST,striker
S. Khedira,medium,high,low,high,high,Germany,Juventus,3.0,2021,€54.5M,85,high,High/ High,€33M,€160K,33000000.0,160000.0,RCM,midfielder
Diego Costa,medium,high,low,high,high,Spain,Atlético Madrid,4.0,2021,€78.9M,85,high,High/ Medium,€38.5M,€100K,38500000.0,100000.0,LS,striker
R. Nainggolan,medium,high,low,high,high,Belgium,Inter,3.0,2022,€60.4M,85,high,High/ High,€35.5M,€105K,35500000.0,105000.0,CAM,midfielder
Naldo,medium,high,low,high,medium,Brazil,FC Schalke 04,3.0,2020,€15.3M,85,medium,Medium/ Medium,€9M,€38K,9000000.0,38000.0,CB,defender
B. Matuidi,medium,high,low,high,high,France,Juventus,3.0,2020,€42.9M,85,high,High/ High,€26M,€145K,26000000.0,145000.0,LM,midfielder
Miranda,medium,high,low,high,high,Brazil,Inter,3.0,2020,€26.4M,85,high,Medium/ High,€15.5M,€96K,15500000.0,96000.0,CB,defender
K. Benzema,medium,high,low,high,high,France,Real Madrid,4.0,2021,€75.9M,85,high,Medium/ Low,€37M,€240K,37000000.0,240000.0,ST,striker
Filipe Luís,medium,high,low,high,high,Brazil,Atlético Madrid,3.0,2019,€44.1M,85,high,High/ Medium,€21.5M,€81K,21500000.0,81000.0,LB,defender
V. Kompany,medium,high,low,high,high,Belgium,Manchester City,4.0,2019,€40.7M,85,medium,Medium/ High,€22M,€170K,22000000.0,170000.0,CB,defender
Pepe,medium,high,low,high,high,Portugal,Beşiktaş JK,4.0,2019,€17.1M,85,medium,Medium/ High,€9M,€57K,9000000.0,57000.0,RCB,defender
Z. Ibrahimović,high,high,low,high,high,Sweden,LA Galaxy,5.0,2022,€21M,85,high,Medium/ Low,€14M,€15K,14000000.0,15000.0,RS,striker
D. Sánchez,low,high,low,high,high,Colombia,Tottenham Hotspur,2.0,2024,€65.5M,84,high,Medium/ High,€34M,€105K,34000000.0,105000.0,RCB,defender
J. Giménez,low,high,low,high,high,Uruguay,Atlético Madrid,2.0,2023,€72.3M,84,medium,Medium/ High,€34M,€63K,34000000.0,63000.0,RCB,defender
Alex Telles,low,high,low,high,high,Brazil,FC Porto,3.0,2021,€66.4M,84,high,High/ Medium,€32M,€22K,32000000.0,22000.0,LB,defender
A. Laporte,low,high,low,high,high,France,Manchester City,2.0,2023,€65.5M,84,medium,Medium/ Medium,€34M,€135K,34000000.0,135000.0,LCB,defender
Bruno Fernandes,low,high,medium,high,high,Portugal,Sporting CP,2.0,2023,€84M,84,high,High/ Medium,€40.5M,€22K,40500000.0,22000.0,LCM,midfielder
N. Süle,low,high,low,high,medium,Germany,FC Bayern München,2.0,2022,€67.5M,84,medium,Medium/ Medium,€36.5M,€84K,36500000.0,84000.0,CB,defender
A. Martial,low,high,medium,high,high,France,Manchester United,3.0,2019,€87.1M,84,high,Medium/ Medium,€42.5M,€165K,42500000.0,165000.0,LW,midfielder
D. Alli,low,high,medium,high,high,England,Tottenham Hotspur,3.0,2024,€87.1M,84,high,High/ High,€42.5M,€115K,42500000.0,115000.0,LCM,midfielder
Fabinho,low,high,low,high,high,Brazil,Liverpool,3.0,2023,€67.2M,84,high,Medium/ Medium,€34M,€120K,34000000.0,120000.0,CDM,midfielder
Marquinhos,low,high,low,high,high,Brazil,Paris Saint-Germain,3.0,2022,€68.3M,84,high,Medium/ Medium,€35.5M,€90K,35500000.0,90000.0,LDM,midfielder
William Carvalho,medium,high,low,high,high,Portugal,Real Betis,3.0,2023,€68.5M,84,medium,Medium/ Medium,€31.5M,€38K,31500000.0,38000.0,CDM,midfielder
Jorginho,medium,high,low,high,high,Italy,Chelsea,2.0,2023,€73.2M,84,high,Medium/ Medium,€38M,€155K,38000000.0,155000.0,CM,midfielder
F. Thauvin,low,high,low,high,high,France,Olympique de Marseille,2.0,2021,€77M,84,high,High/ Medium,€39M,€72K,39000000.0,72000.0,RM,midfielder
Carvajal,medium,high,low,high,high,Spain,Real Madrid,3.0,2022,€66.9M,84,high,High/ High,€31.5M,€185K,31500000.0,185000.0,RB,defender
M. Depay,low,high,medium,high,high,Netherlands,Olympique Lyonnais,3.0,2021,€83M,84,high,High/ Low,€42M,€93K,42000000.0,93000.0,ST,striker
H. Son,low,high,low,high,high,Korea Republic,Tottenham Hotspur,3.0,2023,€71.2M,84,high,High/ High,€37M,€125K,37000000.0,125000.0,LM,midfielder
A. Lopes,medium,high,low,high,high,Portugal,Olympique Lyonnais,2.0,2020,€49.4M,84,medium,Medium/ Medium,€25M,€72K,25000000.0,72000.0,GK,goalkeeper
S. de Vrij,medium,high,low,high,high,Netherlands,Inter,3.0,2023,€55.9M,84,high,Medium/ High,€31.5M,€88K,31500000.0,88000.0,CB,defender
M. Perin,low,high,low,high,medium,Italy,Juventus,2.0,2022,€50.9M,84,medium,Medium/ Medium,€29.5M,€105K,29500000.0,105000.0,GK,goalkeeper
J. Cuadrado,medium,high,low,high,high,Colombia,Juventus,3.0,2020,€48.7M,84,high,High/ Medium,€29.5M,€150K,29500000.0,150000.0,RAM,midfielder
Iago Aspas,medium,high,low,high,high,Spain,RC Celta,2.0,2022,€63M,84,high,High/ High,€30M,€45K,30000000.0,45000.0,ST,striker
B. Leno,medium,high,low,high,medium,Germany,Arsenal,3.0,2023,€53.3M,84,medium,Medium/ Medium,€27M,€115K,27000000.0,115000.0,GK,goalkeeper
N. Matić,medium,high,low,high,high,Serbia,Manchester United,3.0,2020,€44.4M,84,high,Medium/ High,€24M,€165K,24000000.0,165000.0,CDM,midfielder
L. Hrádecký,medium,high,low,high,medium,Finland,Bayer 04 Leverkusen,2.0,2023,€37.4M,84,low,Medium/ Medium,€22M,€74K,22000000.0,74000.0,GK,goalkeeper
Illarramendi,medium,high,low,high,high,Spain,Real Sociedad,2.0,2023,€65.1M,84,high,Medium/ High,€31M,€51K,31000000.0,51000.0,RDM,midfielder
K. Walker,medium,high,low,high,high,England,Manchester City,3.0,2022,€45.3M,84,high,High/ High,€24.5M,€165K,24500000.0,165000.0,RB,defender
I. Gündoğan,medium,high,low,high,high,Germany,Manchester City,3.0,2020,€59.2M,84,high,High/ Medium,€32M,€175K,32000000.0,175000.0,CM,midfielder
José Callejón,medium,high,low,high,high,Spain,Napoli,3.0,2020,€46.8M,84,high,High/ High,€27.5M,€105K,27500000.0,105000.0,RM,midfielder
A. Di María,medium,high,low,high,high,Argentina,Paris Saint-Germain,4.0,2021,€54.6M,84,high,High/ Medium,€29.5M,€125K,29500000.0,125000.0,RM,midfielder
M. Mandžukić,medium,high,low,high,high,Croatia,Juventus,3.0,2020,€41.3M,84,high,High/ High,€25M,€160K,25000000.0,160000.0,ST,striker
Willian,medium,high,low,high,high,Brazil,Chelsea,3.0,2020,€56.4M,84,high,High/ High,€30.5M,€175K,30500000.0,175000.0,RW,midfielder
Sergio Asenjo,medium,high,low,high,high,Spain,Villarreal CF,2.0,2022,€52.2M,84,medium,Medium/ Medium,€24M,€42K,24000000.0,42000.0,GK,goalkeeper
E. Banega,medium,high,low,high,high,Argentina,Sevilla FC,3.0,2020,€60.9M,84,high,Medium/ Medium,€29M,€31K,29000000.0,31000.0,CDM,midfielder
A. Witsel,medium,high,low,high,high,Belgium,Borussia Dortmund,3.0,2022,€40.8M,84,high,Medium/ Medium,€24M,€77K,24000000.0,77000.0,LCM,midfielder
D. Payet,medium,high,low,high,high,France,Olympique de Marseille,3.0,2021,€52.3M,84,high,High/ Low,€27.5M,€75K,27500000.0,75000.0,CAM,midfielder
Jonas,medium,high,low,high,high,Brazil,SL Benfica,3.0,2020,€33M,84,high,High/ Medium,€16.5M,€25K,16500000.0,25000.0,ST,striker
Sokratis,medium,high,low,high,high,Greece,Arsenal,3.0,2021,€43.7M,84,medium,Medium/ High,€23M,€140K,23000000.0,140000.0,RCB,defender
S. Ruffier,medium,high,low,high,high,France,AS Saint-Étienne,3.0,2021,€36.1M,84,medium,Medium/ Medium,€19M,€41K,19000000.0,41000.0,GK,goalkeeper
Falcao,medium,high,low,high,high,Colombia,AS Monaco,3.0,2020,€47.5M,84,high,High/ Medium,€25M,€115K,25000000.0,115000.0,RS,striker
K. Schmeichel,medium,high,low,high,medium,Denmark,Leicester City,2.0,2023,€36.1M,84,medium,Medium/ Medium,€19M,€78K,19000000.0,78000.0,GK,goalkeeper
Raúl Albiol,medium,high,low,high,high,Spain,Napoli,3.0,2021,€30.6M,84,medium,Low/ High,€18M,€88K,18000000.0,88000.0,RCB,defender
A. Gómez,medium,high,low,high,high,Argentina,Atalanta,3.0,2022,€51M,84,high,High/ Medium,€30M,€53K,30000000.0,53000.0,LS,striker
A. Barzagli,high,high,low,high,high,Italy,Juventus,3.0,2019,€6.9M,84,medium,Low/ High,€4.2M,€95K,4200000.0,95000.0,CB,defender
Quaresma,medium,high,low,high,high,Portugal,Beşiktaş JK,3.0,2020,€29.5M,84,high,High/ Low,€15.5M,€80K,15500000.0,80000.0,RM,midfielder
A. Robben,medium,high,low,high,high,Netherlands,FC Bayern München,4.0,2019,€25.6M,84,high,High/ Low,€15.5M,€110K,15500000.0,110000.0,RM,midfielder
O. Dembélé,low,high,medium,high,high,France,FC Barcelona,3.0,2022,€90M,83,high,High/ Low,€40M,€155K,40000000.0,155000.0,RW,midfielder
Gabriel Jesus,low,high,medium,high,high,Brazil,Manchester City,2.0,2023,€84.1M,83,high,High/ High,€41M,€130K,41000000.0,130000.0,ST,striker
Ronaldo Cabrais,medium,high,low,high,high,Brazil,Grêmio,1.0,2021,€50.4M,83,high,High/ Medium,€28M,€51K,28000000.0,51000.0,RW,midfielder
Josué Chiamulera,medium,high,low,high,high,Brazil,Grêmio,1.0,2021,€40.5M,83,high,Medium/ Medium,€22.5M,€43K,22500000.0,43000.0,LCB,defender
Louri Beretta,medium,high,low,high,high,Brazil,Atlético Mineiro,1.0,2021,€54.2M,83,high,High/ Low,€28.5M,€60K,28500000.0,60000.0,ST,striker
P. Kimpembe,low,high,low,high,high,France,Paris Saint-Germain,2.0,2023,€62.5M,83,high,High/ High,€30.5M,€82K,30500000.0,82000.0,LCB,defender
N. Keïta,low,high,low,high,high,Guinea,Liverpool,2.0,2023,€67.2M,83,high,High/ Medium,€34M,€120K,34000000.0,120000.0,CM,midfielder
C. Tolisso,low,high,low,high,high,France,FC Bayern München,2.0,2022,€58.7M,83,high,High/ Medium,€34M,€85K,34000000.0,85000.0,CM,midfielder
T. Lemar,low,high,low,high,high,France,Atlético Madrid,3.0,2023,€79.9M,83,high,High/ Medium,€35.5M,€64K,35500000.0,64000.0,LM,midfielder
K. Coman,low,high,low,high,high,France,FC Bayern München,2.0,2023,€58.7M,83,high,Medium/ Low,€34M,€85K,34000000.0,85000.0,LM,midfielder
J. Tah,low,high,low,high,high,Germany,Bayer 04 Leverkusen,2.0,2023,€52.4M,83,medium,Medium/ Medium,€29.5M,€67K,29500000.0,67000.0,CB,defender
Anderson Talisca,low,high,low,high,high,Brazil,Guangzhou Evergrande Taobao FC,2.0,2018,0,83,high,High/ Medium,€36.5M,€18K,36500000.0,18000.0,CAM,midfielder
T. Werner,low,high,low,high,high,Germany,RB Leipzig,3.0,2020,€61.2M,83,high,High/ Medium,€34.5M,€70K,34500000.0,70000.0,RW,midfielder
A. Rabiot,low,high,low,high,high,France,Paris Saint-Germain,2.0,2019,€63.5M,83,high,High/ Medium,€33M,€91K,33000000.0,91000.0,CM,midfielder
L. Goretzka,low,high,low,high,high,Germany,FC Bayern München,3.0,2022,€58.7M,83,high,High/ High,€34M,€85K,34000000.0,85000.0,CM,midfielder
Q. Promes,medium,high,low,high,high,Netherlands,Sevilla FC,2.0,2023,€66.3M,83,high,High/ Low,€30.5M,€28K,30500000.0,28000.0,RM,midfielder
