K. Koulibaly,mid age,good,average,good,good,average,High,€51M,€115K,51000000.0,115000.0,LCB,defender
P. Pogba,mid age,good,average,good,good,fast,High,€64M,€210K,64000000.0,210000.0,RDM,midfielder
R. Lukaku,mid age,good,average,good,good,fast,Medium,€62.5M,€230K,62500000.0,230000.0,ST,striker
C. Immobile,mid age,good,average,good,good,fast,High,€52M,€115K,52000000.0,115000.0,ST,striker
Jordi Alba,mid age,good,cheap,good,good,fast,High,€38M,€250K,38000000.0,250000.0,LB,defender
D. Mertens,mid age,good,average,good,average,fast,High,€45M,€135K,45000000.0,135000.0,RF,striker
J. Vertonghen,mid age,good,cheap,good,good,average,High,€34M,€155K,34000000.0,155000.0,LCB,defender
M. Hamšík,mid age,good,average,good,good,fast,High,€46.5M,€125K,46500000.0,125000.0,LCM,midfielder
I. Rakitić,mid age,good,average,good,average,fast,High,€46.5M,€260K,46500000.0,260000.0,RCM,midfielder
Piqué,mid age,good,cheap,good,average,average,High,€34M,€240K,34000000.0,240000.0,RCB,defender
L. Sané,young,good,average,good,good,fast,High,€61M,€195K,61000000.0,195000.0,LW,midfielder
Bernardo Silva,young,good,average,good,average,fast,High,€59.5M,€180K,59500000.0,180000.0,RW,midfielder
S. Mané,mid age,good,average,good,good,fast,High,€52M,€195K,52000000.0,195000.0,LM,midfielder
V. van Dijk,mid age,good,average,good,good,average,Medium,€44.5M,€165K,44500000.0,165000.0,LCB,defender
R. Sterling,young,good,average,good,average,fast,High,€56.5M,€195K,56500000.0,195000.0,RW,midfielder
Roberto Firmino,mid age,good,average,good,good,fast,High,€53M,€195K,53000000.0,195000.0,CAM,midfielder
R. Varane,mid age,good,average,good,average,average,Medium,€50M,€210K,50000000.0,210000.0,RCB,defender
M. Verratti,mid age,good,average,good,good,fast,Medium,€55M,€135K,55000000.0,135000.0,LCM,midfielder
Alex Sandro,mid age,good,cheap,good,good,fast,High,€36.5M,€160K,36500000.0,160000.0,LB,defender
Douglas Costa,mid age,good,average,good,good,fast,High,€46.5M,€175K,46500000.0,175000.0,LM,midfielder
T. Müller,mid age,good,average,good,good,fast,High,€45M,€135K,45000000.0,135000.0,CAM,midfielder
Thiago,mid age,good,average,good,good,fast,Medium,€45.5M,€130K,45500000.0,130000.0,CM,midfielder
M. Reus,mid age,good,average,good,good,fast,High,€43.5M,€100K,43500000.0,100000.0,LM,midfielder
Azpilicueta,mid age,good,cheap,good,good,fast,Medium,€35M,€175K,35000000.0,175000.0,RB,defender
L. Bonucci,mid age,good,cheap,good,good,average,Low,€30M,€160K,30000000.0,160000.0,RCB,defender
T. Alderweireld,mid age,good,cheap,good,good,average,Medium,€39M,€150K,39000000.0,150000.0,RCB,defender
M. Pjanić,mid age,good,average,good,good,fast,Medium,€44M,€180K,44000000.0,180000.0,CDM,midfielder
M. Benatia,mid age,good,cheap,good,good,average,Medium,€30M,€160K,30000000.0,160000.0,CB,defender
M. Özil,mid age,good,average,good,average,fast,Medium,€43.5M,€190K,43500000.0,190000.0,CAM,midfielder
Fernandinho,old,good,cheap,good,good,fast,Medium,€18M,€185K,18000000.0,185000.0,CDM,midfielder
Iniesta,old,good,cheap,good,average,fast,High,€21.5M,€21K,21500000.0,21000.0,LF,striker
M. Škriniar,young,good,average,good,good,average,Medium,€46.5M,€82K,46500000.0,82000.0,LCB,defender
S. Milinković-Savić,young,good,average,good,good,fast,High,€50.5M,€73K,50500000.0,73000.0,CM,midfielder
Marco Asensio,young,good,average,good,average,fast,High,€54M,€215K,54000000.0,215000.0,RW,midfielder
N. Fekir,young,good,average,good,good,fast,High,€50M,€92K,50000000.0,92000.0,CAM,midfielder
J. Kimmich,young,good,average,good,good,fast,High,€40.5M,€92K,40500000.0,92000.0,RCM,midfielder
Saúl,young,good,average,good,good,fast,High,€50.5M,€77K,50500000.0,77000.0,RCM,midfielder
R. Mahrez,mid age,good,average,good,average,fast,Medium,€40.5M,€205K,40500000.0,205000.0,RW,midfielder
D. Alaba,mid age,good,cheap,good,good,fast,High,€38M,€110K,38000000.0,110000.0,LB,defender
Koke,mid age,good,average,good,good,fast,High,€45M,€88K,45000000.0,88000.0,LM,midfielder
A. Lacazette,mid age,good,average,good,good,fast,High,€45M,€180K,45000000.0,180000.0,ST,striker
K. Manolas,mid age,good,cheap,good,good,average,Low,€37.5M,€96K,37500000.0,96000.0,LCB,defender
N. Otamendi,mid age,good,cheap,good,good,average,High,€28.5M,€170K,28500000.0,170000.0,CB,defender
Parejo,mid age,good,cheap,good,average,average,Medium,€37M,€66K,37000000.0,66000.0,RCM,midfielder
Paulinho,mid age,good,cheap,good,good,fast,High,€37M,€235K,37000000.0,235000.0,LDM,midfielder
A. Sánchez,mid age,good,cheap,good,good,fast,High,€37.5M,€215K,37500000.0,215000.0,RW,midfielder
Y. Brahimi,mid age,good,cheap,good,good,fast,High,€39M,€28K,39000000.0,28000.0,LM,midfielder
J. Boateng,mid age,good,cheap,good,good,average,Medium,€30M,€115K,30000000.0,115000.0,RCB,defender
A. Vidal,mid age,good,cheap,good,good,average,Medium,€26M,€205K,26000000.0,205000.0,CAM,midfielder
I. Perišić,mid age,good,cheap,good,good,fast,Medium,€37.5M,€110K,37500000.0,110000.0,LM,midfielder
E. Džeko,mid age,good,cheap,good,average,average,Medium,€30.5M,€115K,30500000.0,115000.0,ST,striker
S. Khedira,mid age,good,cheap,good,good,average,High,€33M,€160K,33000000.0,160000.0,RCM,midfielder
Diego Costa,mid age,good,cheap,good,good,fast,High,€38.5M,€100K,38500000.0,100000.0,LS,striker
R. Nainggolan,mid age,good,cheap,good,good,fast,High,€35.5M,€105K,35500000.0,105000.0,CAM,midfielder
Naldo,old,good,cheap,good,average,average,Medium,€9M,€38K,9000000.0,38000.0,CB,defender
B. Matuidi,mid age,good,cheap,good,good,fast,High,€26M,€145K,26000000.0,145000.0,LM,midfielder
Miranda,old,good,cheap,good,average,average,Medium,€15.5M,€96K,15500000.0,96000.0,CB,defender
K. Benzema,mid age,good,cheap,good,good,fast,Medium,€37M,€240K,37000000.0,240000.0,ST,striker
Filipe Luís,mid age,good,cheap,good,good,fast,High,€21.5M,€81K,21500000.0,81000.0,LB,defender
V. Kompany,mid age,good,cheap,good,average,average,Medium,€22M,€170K,22000000.0,170000.0,CB,defender
Pepe,old,good,cheap,good,average,average,Medium,€9M,€57K,9000000.0,57000.0,RCB,defender
Z. Ibrahimović,old,good,cheap,good,average,fast,Medium,€14M,€15K,14000000.0,15000.0,RS,striker
D. Sánchez,young,good,cheap,good,good,average,Medium,€34M,€105K,34000000.0,105000.0,RCB,defender
J. Giménez,young,good,cheap,good,good,average,Medium,€34M,€63K,34000000.0,63000.0,RCB,defender
Alex Telles,mid age,good,cheap,good,good,fast,High,€32M,€22K,32000000.0,22000.0,LB,defender
A. Laporte,young,good,cheap,good,average,average,Medium,€34M,€135K,34000000.0,135000.0,LCB,defender
Bruno Fernandes,young,good,average,good,good,fast,High,€40.5M,€22K,40500000.0,22000.0,LCM,midfielder
N. Süle,young,good,cheap,good,average,average,Medium,€36.5M,€84K,36500000.0,84000.0,CB,defender
A. Martial,young,good,average,good,good,fast,Medium,€42.5M,€165K,42500000.0,165000.0,LW,midfielder
D. Alli,young,good,average,good,good,fast,High,€42.5M,€115K,42500000.0,115000.0,LCM,midfielder
Fabinho,young,good,cheap,good,good,fast,Medium,€34M,€120K,34000000.0,120000.0,CDM,midfielder
Marquinhos,young,good,cheap,good,good,fast,Medium,€35.5M,€90K,35500000.0,90000.0,LDM,midfielder
William Carvalho,mid age,good,cheap,good,good,average,Medium,€31.5M,€38K,31500000.0,38000.0,CDM,midfielder
Jorginho,mid age,good,cheap,good,average,fast,Medium,€38M,€155K,38000000.0,155000.0,CM,midfielder
F. Thauvin,mid age,good,cheap,good,good,fast,High,€39M,€72K,39000000.0,72000.0,RM,midfielder
Carvajal,mid age,good,cheap,good,good,fast,High,€31.5M,€185K,31500000.0,185000.0,RB,defender
M. Depay,young,good,average,good,good,fast,High,€42M,€93K,42000000.0,93000.0,ST,striker
H. Son,mid age,good,cheap,good,good,fast,High,€37M,€125K,37000000.0,125000.0,LM,midfielder
S. de Vrij,mid age,good,cheap,good,average,average,Medium,€31.5M,€88K,31500000.0,88000.0,CB,defender
J. Cuadrado,mid age,good,cheap,good,good,fast,High,€29.5M,€150K,29500000.0,150000.0,RAM,midfielder
Iago Aspas,mid age,good,cheap,good,average,fast,High,€30M,€45K,30000000.0,45000.0,ST,striker
N. Matić,mid age,good,cheap,good,good,average,Medium,€24M,€165K,24000000.0,165000.0,CDM,midfielder
Illarramendi,mid age,good,cheap,good,average,average,Medium,€31M,€51K,31000000.0,51000.0,RDM,midfielder
K. Walker,mid age,good,cheap,good,good,fast,High,€24.5M,€165K,24500000.0,165000.0,RB,defender
I. Gündoğan,mid age,good,cheap,good,average,fast,High,€32M,€175K,32000000.0,175000.0,CM,midfielder
José Callejón,mid age,good,cheap,good,good,fast,High,€27.5M,€105K,27500000.0,105000.0,RM,midfielder
A. Di María,mid age,good,cheap,good,average,fast,High,€29.5M,€125K,29500000.0,125000.0,RM,midfielder
M. Mandžukić,mid age,good,cheap,good,good,fast,High,€25M,€160K,25000000.0,160000.0,ST,striker
Willian,mid age,good,cheap,good,average,fast,High,€30.5M,€175K,30500000.0,175000.0,RW,midfielder
E. Banega,mid age,good,cheap,good,average,fast,Medium,€29M,€31K,29000000.0,31000.0,CDM,midfielder
A. Witsel,mid age,good,cheap,good,good,fast,Medium,€24M,€77K,24000000.0,77000.0,LCM,midfielder
D. Payet,mid age,good,cheap,good,average,fast,High,€27.5M,€75K,27500000.0,75000.0,CAM,midfielder
Jonas,old,good,cheap,good,average,fast,High,€16.5M,€25K,16500000.0,25000.0,ST,striker
Sokratis,mid age,good,cheap,good,good,average,Medium,€23M,€140K,23000000.0,140000.0,RCB,defender
Falcao,mid age,good,cheap,good,good,average,High,€25M,€115K,25000000.0,115000.0,RS,striker
Raúl Albiol,mid age,good,cheap,good,average,average,Low,€18M,€88K,18000000.0,88000.0,RCB,defender
A. Gómez,mid age,good,cheap,good,good,fast,High,€30M,€53K,30000000.0,53000.0,LS,striker
A. Barzagli,old,good,cheap,good,average,average,Low,€4.2M,€95K,4200000.0,95000.0,CB,defender
Quaresma,old,good,cheap,good,average,fast,High,€15.5M,€80K,15500000.0,80000.0,RM,midfielder
A. Robben,old,good,cheap,good,average,fast,High,€15.5M,€110K,15500000.0,110000.0,RM,midfielder
O. Dembélé,young,good,average,good,average,fast,High,€40M,€155K,40000000.0,155000.0,RW,midfielder
Gabriel Jesus,young,good,average,good,good,fast,High,€41M,€130K,41000000.0,130000.0,ST,striker
Ronaldo Cabrais,mid age,good,cheap,good,good,fast,High,€28M,€51K,28000000.0,51000.0,RW,midfielder
Josué Chiamulera,mid age,good,cheap,good,good,average,Medium,€22.5M,€43K,22500000.0,43000.0,LCB,defender
Louri Beretta,mid age,good,cheap,good,average,fast,High,€28.5M,€60K,28500000.0,60000.0,ST,striker
P. Kimpembe,young,good,cheap,good,good,fast,High,€30.5M,€82K,30500000.0,82000.0,LCB,defender
N. Keïta,young,good,cheap,good,average,fast,High,€34M,€120K,34000000.0,120000.0,CM,midfielder
C. Tolisso,young,good,cheap,good,good,fast,High,€34M,€85K,34000000.0,85000.0,CM,midfielder
T. Lemar,young,good,cheap,good,good,fast,High,€35.5M,€64K,35500000.0,64000.0,LM,midfielder
K. Coman,young,good,cheap,good,good,fast,Medium,€34M,€85K,34000000.0,85000.0,LM,midfielder
J. Tah,young,good,cheap,good,average,average,Medium,€29.5M,€67K,29500000.0,67000.0,CB,defender
Anderson Talisca,young,good,cheap,good,average,fast,High,€36.5M,€18K,36500000.0,18000.0,CAM,midfielder
T. Werner,young,good,cheap,good,good,fast,High,€34.5M,€70K,34500000.0,70000.0,RW,midfielder
A. Rabiot,young,good,cheap,good,good,fast,High,€33M,€91K,33000000.0,91000.0,CM,midfielder
L. Goretzka,young,good,cheap,good,good,fast,High,€34M,€85K,34000000.0,85000.0,CM,midfielder
Q. Promes,mid age,good,cheap,good,good,fast,High,€30.5M,€28K,30500000.0,28000.0,RM,midfielder
H. Ziyech,mid age,good,cheap,good,average,fast,High,€32.5M,€28K,32500000.0,28000.0,RAM,midfielder
Lucas Vázquez,mid age,good,cheap,good,good,fast,High,€27M,€205K,27000000.0,205000.0,RW,midfielder
Y. Carrasco,young,good,cheap,good,average,fast,High,€33M,€20K,33000000.0,20000.0,LM,midfielder
Gerard Moreno,mid age,good,cheap,good,good,fast,High,€32M,€53K,32000000.0,53000.0,LS,striker
Felipe,mid age,good,cheap,good,good,average,Medium,€20M,€22K,20000000.0,22000.0,RCB,defender
M. Kovačić,young,good,cheap,good,good,fast,High,€35M,€165K,35000000.0,165000.0,LCM,midfielder
Manu Trigueros,mid age,good,cheap,good,good,fast,Medium,€30M,€49K,30000000.0,49000.0,RCM,midfielder
S. Gnabry,young,good,cheap,good,good,fast,High,€34.5M,€85K,34500000.0,85000.0,ST,striker
S. Savić,mid age,good,cheap,good,average,average,Medium,€26M,€67K,26000000.0,67000.0,CB,defender
J. Stones,young,good,cheap,good,good,average,High,€28.5M,€125K,28500000.0,125000.0,RCB,defender
Suso,young,good,cheap,good,average,fast,High,€33M,€115K,33000000.0,115000.0,RW,midfielder
J. Draxler,young,good,cheap,good,good,fast,Medium,€32.5M,€91K,32500000.0,91000.0,CM,midfielder
Felipe Anderson,mid age,good,cheap,good,average,fast,High,€31.5M,€110K,31500000.0,110000.0,LM,midfielder
Lucas Moura,mid age,good,cheap,good,good,fast,High,€31M,€115K,31000000.0,115000.0,RM,midfielder
Danilo Pereira,mid age,good,cheap,good,good,average,Medium,€27M,€21K,27000000.0,21000.0,CDM,midfielder
Nacho Fernández,mid age,good,cheap,good,good,average,Medium,€24.5M,€180K,24500000.0,180000.0,CB,defender
Allan,mid age,good,cheap,good,good,fast,Medium,€26.5M,€87K,26500000.0,87000.0,RCM,midfielder
F. Acerbi,mid age,good,cheap,good,average,average,Medium,€19M,€64K,19000000.0,64000.0,CB,defender
Sergi Roberto,mid age,good,cheap,good,average,fast,High,€26.5M,€170K,26500000.0,170000.0,RB,defender
Rodrigo,mid age,good,cheap,good,good,fast,High,€30.5M,€57K,30500000.0,57000.0,ST,striker
Pizzi,mid age,good,cheap,good,good,fast,High,€25.5M,€22K,25500000.0,22000.0,LCM,midfielder
K. Kampl,mid age,good,cheap,good,average,fast,High,€26.5M,€74K,26500000.0,74000.0,LCM,midfielder
I. Gueye,mid age,good,cheap,good,good,fast,Medium,€21M,€125K,21000000.0,125000.0,RDM,midfielder
H. Mkhitaryan,mid age,good,cheap,good,good,fast,Medium,€25.5M,€145K,25500000.0,145000.0,RM,midfielder
Marcos Alonso,mid age,good,cheap,good,good,fast,High,€24M,€130K,24000000.0,130000.0,LB,defender
K. Glik,mid age,good,cheap,good,good,slow,Low,€19M,€86K,19000000.0,86000.0,RCB,defender
K. Strootman,mid age,good,cheap,good,average,fast,Medium,€21M,€66K,21000000.0,66000.0,CDM,midfielder
B. Dost,mid age,good,cheap,good,average,average,Medium,€26M,€26K,26000000.0,26000.0,ST,striker
Oscar,mid age,good,cheap,good,average,fast,Medium,€30.5M,€29K,30500000.0,29000.0,LCM,midfielder
M. Balotelli,mid age,good,cheap,good,average,fast,Medium,€27.5M,€55K,27500000.0,55000.0,LS,striker
Luiz Gustavo,mid age,good,cheap,good,good,average,Medium,€19M,€63K,19000000.0,63000.0,LCB,defender
Giuliano,mid age,good,cheap,good,good,fast,High,€26M,€64K,26000000.0,64000.0,CAM,midfielder
David Luiz,mid age,good,cheap,good,average,average,Medium,€17.5M,€130K,17500000.0,130000.0,LCB,defender
Juan Mata,mid age,good,cheap,good,average,fast,Medium,€24.5M,€160K,24500000.0,160000.0,RM,midfielder
Javi Martínez,mid age,good,cheap,good,good,average,Medium,€20M,€94K,20000000.0,94000.0,CDM,midfielder
L. Bender,mid age,good,cheap,good,good,average,High,€20M,€82K,20000000.0,82000.0,RB,defender
Lucas Leiva,mid age,good,cheap,good,good,fast,Medium,€17.5M,€64K,17500000.0,64000.0,LDM,midfielder
Cesc Fàbregas,mid age,good,cheap,good,average,average,High,€22M,€140K,22000000.0,140000.0,CM,midfielder
M. Dembélé,mid age,good,cheap,good,good,fast,Medium,€24M,€120K,24000000.0,120000.0,CM,midfielder
F. Ribéry,old,good,cheap,good,average,fast,Medium,€11.5M,€72K,11500000.0,72000.0,LM,midfielder
D. De Rossi,old,good,cheap,good,good,average,Medium,€8M,€80K,8000000.0,80000.0,RDM,midfielder
M. de Ligt,young,good,cheap,good,good,average,Medium,€27M,€11K,27000000.0,11000.0,RCB,defender
Rodri,young,good,cheap,good,good,fast,Medium,€29M,€59K,29000000.0,59000.0,CM,midfielder
Arthur,young,good,cheap,good,good,fast,Medium,€32.5M,€125K,32500000.0,125000.0,LCM,midfielder
Rosberto Dourado,mid age,good,cheap,good,good,fast,High,€16.5M,€46K,16500000.0,46000.0,RCM,midfielder
Juiano Mestres,old,good,cheap,good,good,average,High,€6.5M,€39K,6500000.0,39000.0,RCB,defender
Gelson Martins,young,good,cheap,good,good,fast,High,€29.5M,€59K,29500000.0,59000.0,RM,midfielder
Gonçalo Guedes,young,good,cheap,good,good,fast,High,€29M,€36K,29000000.0,36000.0,LM,midfielder
L. Torreira,young,good,cheap,good,good,fast,Medium,€25M,€98K,25000000.0,98000.0,LCM,midfielder
Malcom,young,good,cheap,good,average,fast,Medium,€31.5M,€140K,31500000.0,140000.0,RW,midfielder
L. Hernández,young,good,cheap,good,good,fast,Medium,€25.5M,€53K,25500000.0,53000.0,LB,defender
C. Lenglet,young,good,cheap,good,good,average,Medium,€26M,€135K,26000000.0,135000.0,LCB,defender
A. Kramarić,mid age,good,cheap,good,good,fast,Medium,€26M,€54K,26000000.0,54000.0,LCM,midfielder
A. Robertson,young,good,cheap,good,good,fast,High,€24.5M,€98K,24500000.0,98000.0,LB,defender
Dani García,mid age,good,cheap,good,good,average,Medium,€20M,€33K,20000000.0,33000.0,RCM,midfielder
F. Bernardeschi,young,good,cheap,good,average,fast,High,€29.5M,€110K,29500000.0,110000.0,RM,midfielder
J. Brandt,young,good,cheap,good,average,fast,Medium,€30.5M,€68K,30500000.0,68000.0,LM,midfielder
D. Rugani,young,good,cheap,good,average,average,Low,€24.5M,€95K,24500000.0,95000.0,CB,defender
Samu Castillejo,young,good,cheap,good,average,fast,Medium,€29M,€94K,29000000.0,94000.0,RM,midfielder
João Cancelo,young,good,cheap,good,good,fast,High,€25.5M,€95K,25500000.0,95000.0,RB,defender
A. Romagnoli,young,good,cheap,good,good,average,Medium,€26.5M,€84K,26500000.0,84000.0,LCB,defender
T. Partey,mid age,good,cheap,good,good,fast,High,€25.5M,€59K,25500000.0,59000.0,CDM,midfielder
Fred,mid age,good,cheap,good,good,fast,High,€26.5M,€140K,26500000.0,140000.0,CM,midfielder
J. Vardy,mid age,good,cheap,good,good,fast,High,€20M,€96K,20000000.0,96000.0,ST,striker
A. Belotti,young,good,cheap,good,good,fast,High,€30M,€58K,30000000.0,58000.0,LS,striker
E. Forsberg,mid age,good,cheap,good,average,fast,Medium,€26M,€67K,26000000.0,67000.0,LM,midfielder
J. Lingard,mid age,good,cheap,good,good,fast,High,€26.5M,€140K,26500000.0,140000.0,CAM,midfielder
F. Vázquez,mid age,good,cheap,good,average,fast,Medium,€21.5M,€27K,21500000.0,27000.0,LCM,midfielder
E. Višća,mid age,good,cheap,good,good,fast,High,€22.5M,€40K,22500000.0,40000.0,RM,midfielder
A. Rüdiger,mid age,good,cheap,good,average,average,Medium,€22.5M,€110K,22500000.0,110000.0,CB,defender
A. Florenzi,mid age,good,cheap,good,good,fast,High,€20.5M,€73K,20500000.0,73000.0,RB,defender
H. Maguire,mid age,good,cheap,good,good,average,High,€23.5M,€77K,23500000.0,77000.0,LCB,defender
T. Meunier,mid age,good,cheap,good,good,fast,High,€21M,€87K,21000000.0,87000.0,RM,midfielder
S. Sané,mid age,good,cheap,good,average,average,Medium,€18.5M,€41K,18500000.0,41000.0,CB,defender
G. Kondogbia,mid age,good,cheap,good,good,fast,High,€27.5M,€46K,27500000.0,46000.0,CM,midfielder
Rafinha,mid age,good,cheap,good,good,fast,High,€29.5M,€165K,29500000.0,165000.0,CAM,midfielder
Gabriel Paulista,mid age,good,cheap,good,good,average,Low,€21M,€44K,21000000.0,44000.0,LCB,defender
Morata,mid age,good,cheap,good,good,fast,High,€28.5M,€135K,28500000.0,135000.0,ST,striker
W. Ben Yedder,mid age,good,cheap,good,good,fast,High,€23.5M,€28K,23500000.0,28000.0,RS,striker
C. Bakambu,mid age,good,cheap,good,good,fast,Medium,€26M,€33K,26000000.0,33000.0,ST,striker
Pablo Sarabia,mid age,good,cheap,good,average,fast,High,€26M,€26K,26000000.0,26000.0,RCM,midfielder
W. Zaha,mid age,good,cheap,good,good,fast,High,€28.5M,€78K,28500000.0,78000.0,LS,striker
Luis Alberto,mid age,good,cheap,good,average,fast,High,€28.5M,€67K,28500000.0,67000.0,CF,striker
Jonathan Viera,mid age,good,cheap,good,good,fast,High,€22.5M,€31K,22500000.0,31000.0,LF,striker
Bartra,mid age,good,cheap,good,good,fast,High,€21M,€32K,21000000.0,32000.0,CB,defender
S. Coates,mid age,good,cheap,good,average,slow,Medium,€21M,€19K,21000000.0,19000.0,RCB,defender
Willian José,mid age,good,cheap,good,average,average,Medium,€26.5M,€44K,26500000.0,44000.0,ST,striker
Mário Fernandes,mid age,good,cheap,good,good,fast,High,€18.5M,€1K,18500000.0,1000.0,RB,defender
Víctor Ruiz,mid age,good,cheap,good,good,average,Medium,€19.5M,€43K,19500000.0,43000.0,LCB,defender
T. Delaney,mid age,good,cheap,good,good,fast,High,€21.5M,€61K,21500000.0,61000.0,LCM,midfielder
M. Götze,mid age,good,cheap,good,good,fast,Medium,€27M,€67K,27000000.0,67000.0,CM,midfielder
S. Mustafi,mid age,good,cheap,good,good,average,Medium,€22.5M,€115K,22500000.0,115000.0,RCB,defender
J. Pastore,mid age,good,cheap,good,average,fast,High,€21.5M,€84K,21500000.0,84000.0,CAM,midfielder
Pedro,mid age,good,cheap,good,average,fast,High,€21M,€140K,21000000.0,140000.0,RW,midfielder
G. Bonaventura,mid age,good,cheap,good,good,fast,High,€22M,€115K,22000000.0,115000.0,CM,midfielder
Taison,mid age,good,cheap,good,good,fast,Medium,€21M,€1K,21000000.0,1000.0,LM,midfielder
S. Nzonzi,mid age,good,cheap,good,good,average,Medium,€17M,€77K,17000000.0,77000.0,CDM,midfielder
Marlos,mid age,good,cheap,good,good,fast,Medium,€21M,€1K,21000000.0,1000.0,RM,midfielder
A. Ramsey,mid age,good,cheap,good,good,fast,High,€25M,€130K,25000000.0,130000.0,CAM,midfielder
K. Trippier,mid age,good,cheap,good,good,fast,High,€18.5M,€99K,18500000.0,99000.0,RB,defender
A. Kolarov,mid age,good,cheap,good,good,fast,High,€12.5M,€73K,12500000.0,73000.0,LB,defender
G. Sigurðsson,mid age,good,cheap,good,good,fast,High,€22.5M,€125K,22500000.0,125000.0,CAM,midfielder
S. Giovinco,mid age,good,cheap,good,average,fast,High,€20M,€15K,20000000.0,15000.0,CF,striker
M. Arnautović,mid age,good,cheap,good,good,fast,High,€22M,€120K,22000000.0,120000.0,LS,striker
N. Gaitán,mid age,good,cheap,good,average,fast,Medium,€21M,€22K,21000000.0,22000.0,CAM,midfielder
J. Henderson,mid age,good,cheap,good,good,fast,Medium,€18M,€125K,18000000.0,125000.0,RCM,midfielder
M. Kruse,mid age,good,cheap,good,good,fast,High,€21.5M,€45K,21500000.0,45000.0,ST,striker
M. Parolo,old,good,cheap,good,good,fast,High,€9M,€59K,9000000.0,59000.0,RDM,midfielder
L. Fejsa,mid age,good,cheap,good,good,average,Low,€17M,€18K,17000000.0,18000.0,CDM,midfielder
A. Rami,mid age,good,cheap,good,good,average,High,€12.5M,€57K,12500000.0,57000.0,RCB,defender
